name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Slow Burn,Around the World and Back (Deluxe),State Champs,2015,188160,45,0.000858,0.544,0.918,0.0,0.0768,-3.875,0.0685,129.018,0.668,4,8,1,spotify:track:1smfaaFx8ulrGRh20sSZkc,2015
Placeholder,Under Soil and Dirt,The Story So Far,2011-06-21,185733,51,0.0595,0.416,0.969,0.0,0.104,-2.361,0.0611,182.038,0.449,4,2,1,spotify:track:38sLZRXFfJPAeqFE0SX3NS,2011
"Heroes Get Remembered, Legends Never Die",Rise or Die Trying,Four Year Strong,2007-09-18,215760,50,0.00105,0.429,0.964,0.0,0.277,-4.09,0.178,163.06,0.525,4,2,1,spotify:track:73egERbXJYHKWUgCVEkUtK,2007
Cute Without The 'E' (Cut From The Team),Tell All Your Friends,Taking Back Sunday,2002-03-26,211546,1,0.0394,0.402,0.859,0.0,0.0745,-4.41,0.0466,95.31,0.514,4,1,0,spotify:track:6PsISpFaCEKwysPfwO9SfC,2002
Worse Than This,Walk the Plank,zebrahead,2015-10-16,203694,0,0.00363,0.398,0.994,1.2e-05,0.368,-3.204,0.184,197.161,0.51,4,8,1,spotify:track:0YVWaWlb8MAf2VW55ZkRaQ,2015
All Downhill From Here,Catalyst,New Found Glory,2004-05-18,192426,61,8.31e-05,0.428,0.934,0.000431,0.108,-4.061,0.0926,167.988,0.724,4,9,1,spotify:track:5dpDrUG52yI3s1AQRlaypA,2004
Mess,The Home Inside My Head,Real Friends,2016-05-27,188493,53,7.23e-06,0.508,0.92,0.864,0.0853,-4.387,0.0489,90.027,0.699,4,1,1,spotify:track:1mjcyWQPFsoG1Cb6Gl33Tk,2016
Everchanging,The Unraveling (Re-Issue),Rise Against,2005-08-30,227026,42,0.000432,0.466,0.996,0.0294,0.304,-3.768,0.251,147.214,0.148,4,0,1,spotify:track:0Ua9vUyNzl4PVtatUjaURv,2005
Want Me Around,Shapeshifter,Knuckle Puck,2017-10-13,211100,51,0.00699,0.452,0.962,1.01e-05,0.0997,-3.225,0.127,101.885,0.527,4,0,0,spotify:track:1hWlZxzZWiXRkQy7ywSAmh,2017
Best of Me,Common Courtesy,A Day To Remember,2013-11-25,207778,0,0.00123,0.439,0.968,0.0,0.242,-3.21,0.159,160.055,0.655,4,6,0,spotify:track:10j4RuFfe9XnCQS9020wjb,2013
Calling All Skeletons,Damnesia,Alkaline Trio,2011-07-12,211053,33,0.0156,0.609,0.794,0.0,0.106,-6.482,0.0429,131.935,0.703,4,1,1,spotify:track:018pviJYXwS1A3UT50PPnG,2011
Crystal Ball,Crystal Ball,State Champs,2018-05-07,192381,26,0.00294,0.452,0.971,1.35e-05,0.294,-2.918,0.101,182.972,0.875,4,8,1,spotify:track:2whG9W1yoHPSQHIGu6B8Qm,2018
Good Times Bad Times - 1993 Remaster,Led Zeppelin,Led Zeppelin,1969-01-12,166266,71,0.0382,0.476,0.717,7.61e-05,0.0818,-9.192,0.0949,93.584,0.753,4,9,1,spotify:track:0QwZfbw26QeUoIy82Z2jYp,1969
Find My Way Back,Enemy Of The World,Four Year Strong,2010,208040,43,0.000105,0.496,0.992,0.0,0.562,-3.963,0.172,106.171,0.125,4,0,1,spotify:track:0y9T7SuTGJHeamj2BOc2iP,2010
Solo,The Story So Far,The Story So Far,2015-05-18,157880,50,0.00676,0.501,0.969,0.0,0.282,-3.146,0.062,107.391,0.3,4,1,1,spotify:track:6YuBA0OqrYdgRGNuYSlb3R,2015
Wasted,Playmate Of The Year,zebrahead,2000-10-17,234160,20,0.00321,0.403,0.92,0.0678,0.17,-6.088,0.108,168.139,0.492,4,4,1,spotify:track:5u7nBaUyPZY6QHkWF6Bn0U,2000
(If You're Wondering If I Want You To) I Want You To,Raditude,Weezer,2009-11-03,208773,40,0.00163,0.695,0.873,0.000198,0.154,-5.722,0.0392,110.021,0.799,4,11,0,spotify:track:7akwKkIS6sp7Orbq7LEj5a,2009
Tyson vs Douglas,Wonderful Wonderful,The Killers,2017-09-22,273706,47,0.00255,0.494,0.933,0.112,0.109,-3.997,0.151,159.862,0.308,4,2,1,spotify:track:4LCQ5gFmkAdACy5O9vDP4c,2017
Stay Together For The Kids,Take Off Your Pants And Jacket,blink-182,2001,239333,68,0.00165,0.519,0.78,2.14e-05,0.156,-4.939,0.0356,145.125,0.166,4,2,1,spotify:track:3YD9EehnGOf88rGSZFrnHg,2001
Gates of Hell,Collide and Conquer,Hunter Valentine,2012-10-22,171613,4,0.00035,0.43,0.898,2.98e-05,0.283,-6.074,0.0801,177.981,0.547,4,2,1,spotify:track:4u8yupokHFIdazVc0OLrmR,2012
I Don’t Want To Be Here Anymore,The Black Market,Rise Against,2014-01-01,239960,60,0.000759,0.236,0.971,3.87e-05,0.172,-3.98,0.0987,159.001,0.403,4,6,0,spotify:track:6qtg4gz3DhqOHL5BHtSQw8,2014
It's Not Your Fault,Coming Home,New Found Glory,2006-01-01,217413,39,0.00307,0.509,0.947,0.0,0.0867,-4.308,0.0739,129.831,0.473,4,9,1,spotify:track:6mWaIL3wd4XtxBZlvams5f,2006
Never There,Prolonging the Magic,CAKE,1998-02-05,164266,64,0.0426,0.761,0.735,0.0838,0.0917,-8.171,0.043,125.815,0.592,4,9,0,spotify:track:7aKWgpecgLEqisWcXPElDl,1998
Tonight,Seether: 2002-2013,Seether,2013-01-01,224974,36,2.14e-05,0.593,0.929,0.0869,0.123,-4.355,0.0349,125.014,0.524,4,9,1,spotify:track:6E4znBOjdrHZUEYEmkVz1C,2013
It Must Really Suck To Be Four Year Strong Right Now,Enemy Of The World (Special Edition),Four Year Strong,2010-01-01,196146,36,0.000149,0.248,0.979,2.39e-05,0.366,-3.787,0.229,168.188,0.343,4,2,1,spotify:track:1WxU2gzm360coppgmRQ6ua,2010
Better Off This Way,What Separates Me From You,A Day To Remember,2010,206360,0,9.33e-05,0.379,0.965,0.0,0.371,-3.442,0.0975,160.057,0.565,4,4,1,spotify:track:5TtOrriDfiamVEKrls2GIT,2010
Perfect Score,Around the World and Back,State Champs,2015-10-16,198453,41,8.66e-05,0.573,0.964,0.0,0.299,-4.082,0.0453,110.031,0.735,4,1,1,spotify:track:6VrMCe9krC0d54cWt7jnnR,2015
Hello Tomorrow,MFZB,zebrahead,2003-10-21,244160,0,0.000454,0.46,0.948,2.48e-05,0.277,-5.375,0.173,154.908,0.494,4,8,0,spotify:track:0icYxb0n9T4MUi3QC2Rxux,2003
Do It Again,Come Dancing with the Kinks (The Best of the Kinks 1977-1986),The Kinks,1986-06-01,249560,0,0.149,0.571,0.872,0.00293,0.373,-10.343,0.0438,132.105,0.673,4,7,1,spotify:track:5JIUvtu1UwoaBanmIGHv3m,1986
Stockholm Syndrome,blink-182,blink-182,2003-01-01,161133,39,0.00904,0.394,0.989,1.34e-05,0.144,-3.001,0.0881,173.182,0.487,4,0,1,spotify:track:2wMqxbWlfIIaVzpYtFG4HY,2003
Mercy Me,Crimson,Alkaline Trio,2005-05-24,169497,62,0.0207,0.472,0.88,0.0,0.354,-5.354,0.0495,162.171,0.805,4,9,1,spotify:track:2YrB3vM3H7TcXZ0rAq4X8Y,2005
Face Everything And Rise,F.E.A.R.,Papa Roach,2015-01-27,190586,56,3e-05,0.414,0.989,0.0,0.301,-2.257,0.0799,139.964,0.359,4,8,1,spotify:track:5K7RDuh2JihPUScuOB76Sq,2015
Here We Are,Phobia (Explicit Version),Breaking Benjamin,2006-01-01,258586,49,6.71e-05,0.449,0.811,0.00105,0.0851,-4.006,0.0315,130.899,0.195,4,0,0,spotify:track:7Bncv4ahH3qUJydCBzSwao,2006
Sassafras Roots,Dookie,Green Day,1994-02-01,157626,55,5.03e-05,0.172,0.97,0.00479,0.257,-5.104,0.0409,182.451,0.881,4,8,1,spotify:track:4oqF9y2thGJh7hFd1hqItt,1994
Bonfire,Ursa Major,Third Eye Blind,2009-08-17,249906,43,0.0134,0.488,0.839,0.0,0.101,-7.336,0.0487,178.006,0.55,4,9,1,spotify:track:2BqHokpi0AZXmUm8ucIuy6,2009
