name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
The Look,The English Riviera,Metronomy,2011-04-11,277653,73,0.623,0.638,0.535,0.0391,0.0837,-7.792,0.0415,84.947,0.504,4,9,0,spotify:track:6zfczP87XO2SxWlQtnjFNa,2011
Rice Rain,Wedding Bells,Cashmere Cat,2014-02-10,265100,32,0.337,0.71,0.633,0.372,0.0989,-7.421,0.0393,145.126,0.506,4,0,0,spotify:track:6uvU4ou8L52pBxQdxcbjxu,2014
The Other Side Of Paradise,How To Be A Human Being,Glass Animals,2016-08-26,320654,79,0.349,0.689,0.338,5.7e-05,0.0649,-7.634,0.0629,128.012,0.568,4,11,0,spotify:track:0rRjGruFonCGOt0S5zAJNQ,2016
Teddy Picker,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,160640,62,0.000413,0.637,0.973,2.23e-05,0.104,-3.386,0.112,150.223,0.8,4,9,1,spotify:track:4OkPamOn5GofkOQu64Z4eR,2007
He Can Only Hold Her,Back To Black,Amy Winehouse,2006-10-27,164880,53,0.0262,0.651,0.835,0.00685,0.056,-4.311,0.0649,98.411,0.692,4,6,0,spotify:track:0sSdFMuYrn3N9moumV466B,2006
Stillness Is The Move,Bitte Orca,Dirty Projectors,2009-06-09,314320,42,0.109,0.569,0.542,4.38e-06,0.204,-5.784,0.134,76.309,0.53,4,0,1,spotify:track:08LAyogtI90hvNsyr1Hsdm,2009
Romeo And Juliet,Sawdust,The Killers,2007-01-01,327866,61,0.43,0.611,0.397,8.89e-06,0.239,-8.47,0.0266,84.359,0.347,4,9,1,spotify:track:1kfrnPViuzKdNwmH21ehLg,2007
Fake Nice,When My Heart Felt Volcanic,The Aces,2018-04-06,203646,45,0.00597,0.731,0.813,3.45e-05,0.0779,-4.071,0.0336,122.968,0.845,4,2,1,spotify:track:1OEIsjH8IxGMxu8AZEZKCe,2018
Everything Hits at Once,Girls Can Tell,Spoon,2001-02-20,244240,0,0.211,0.784,0.574,0.00015,0.101,-8.105,0.0341,123.026,0.558,4,9,1,spotify:track:20gPDGp75RlBO8ojAytv5y,2001
What Katie Did,The Libertines,The Libertines,2004,229840,0,0.0811,0.447,0.582,5.49e-05,0.105,-6.44,0.0394,169.449,0.45,4,9,1,spotify:track:39BYRAiJhO6fWPJTDYhMxm,2004
